,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,OHLC Avg Price,Day_Perc_Change,Trend
112,2019-05-16,1907.57,1885.94,1917.51,1882.29,4710000.0,5,2019,1832.4209989337078,1898.3275,0.02063670411985008,Slight or No change
113,2019-05-15,1871.15,1827.95,1874.43,1823.0,4690000.0,5,2019,1832.887697327852,1849.1325000000002,-0.019092353098444592,Slight or No change
114,2019-05-14,1840.12,1839.5,1852.44,1815.75,4630000.0,5,2019,1832.972722748394,1836.9524999999999,-0.016583384549608615,Slight or No change
115,2019-05-13,1822.68,1836.56,1846.54,1818.0,5780000.0,5,2019,1832.8238477515579,1830.945,-0.009477642762428462,Slight or No change
116,2019-05-10,1889.98,1898.0,1903.79,1856.0,5720000.0,5,2019,1833.6304329805344,1886.9425,0.036923650887703774,Slight or No change
117,2019-05-09,1899.87,1900.0,1909.4,1876.0,5310000.0,5,2019,1834.486979105786,1896.3175,0.005232859606979945,Slight or No change
118,2019-05-08,1917.77,1918.87,1935.37,1910.0,4080000.0,5,2019,1835.306314380787,1920.5025,0.009421697274023977,Slight or No change
119,2019-05-07,1921.0,1939.99,1949.1,1903.38,5900000.0,5,2019,1836.50833222386,1928.3675,0.0016842478503678038,Slight or No change
120,2019-05-06,1950.55,1917.98,1959.0,1910.5,5420000.0,5,2019,1837.9591486714862,1934.5075,0.015382613222280073,Slight or No change
121,2019-05-03,1962.46,1949.0,1964.4,1936.0,6380000.0,5,2019,1839.7960559178575,1952.9650000000001,0.006105970110994452,Slight or No change
122,2019-05-02,1900.82,1913.33,1921.55,1881.87,3960000.0,5,2019,1840.3498274439708,1904.3925,-0.031409557392252596,Slight or No change
123,2019-05-01,1911.52,1933.09,1943.64,1910.55,3120000.0,5,2019,1840.855062798635,1924.7,0.005629149524941868,Slight or No change
124,2019-04-30,1926.52,1930.1,1935.71,1906.95,3510000.0,4,2019,1841.5337922394529,1924.82,0.007847158282414002,Slight or No change
125,2019-04-29,1938.43,1949.0,1956.34,1934.09,4019999.9999999995,4,2019,1842.4051493188376,1944.4650000000001,0.006182131511741407,Slight or No change
126,2019-04-26,1950.63,1929.0,1951.0,1898.0,8430000.0,4,2019,1844.408257146621,1932.1575,0.006293753192016194,Slight or No change
127,2019-04-25,1902.25,1917.0,1922.45,1900.31,6100000.0,4,2019,1845.1726965074963,1910.5025,-0.024802243377780586,Slight or No change
128,2019-04-24,1901.75,1925.0,1929.69,1898.16,3680000.0,4,2019,1845.6202170922534,1913.65,-0.0002628466289920084,Slight or No change
129,2019-04-23,1923.77,1891.2,1929.26,1889.58,4640000.0,4,2019,1846.3919353877586,1908.4525,0.011578808991718148,Slight or No change
130,2019-04-22,1887.31,1855.4,1888.42,1845.64,3370000.0,4,2019,1846.683311780243,1869.1925,-0.01895236956600843,Slight or No change
131,2019-04-18,1861.69,1868.79,1870.82,1859.48,2750000.0,4,2019,1846.7700100840336,1865.1950000000002,-0.013574876411400316,Slight or No change
132,2019-04-17,1864.82,1872.99,1876.47,1860.44,2890000.0,4,2019,1846.8789379607008,1868.6799999999998,0.001681268095117705,Slight or No change
133,2019-04-16,1863.04,1851.35,1869.77,1848.0,3040000.0,4,2019,1846.980881455813,1858.04,-0.0009545157173346253,Slight or No change
134,2019-04-15,1844.87,1842.0,1846.85,1818.9,3720000.0,4,2019,1846.9647124472356,1838.1549999999997,-0.009752877018206818,Slight or No change
135,2019-04-12,1843.06,1848.4,1851.5,1841.3,3110000.0,4,2019,1846.9398666011948,1846.065,-0.0009810989392206038,Slight or No change
136,2019-04-11,1844.07,1848.7,1849.95,1840.31,2650000.0,4,2019,1846.9243904275452,1845.7575000000002,0.0005480016928369746,Slight or No change
137,2019-04-10,1847.33,1841.0,1848.0,1828.81,2960000.0,4,2019,1846.9268189817344,1841.2849999999999,0.0017678287700575446,Slight or No change
138,2019-04-09,1835.84,1845.49,1853.09,1831.78,3710000.0,4,2019,1846.844237672663,1841.55,-0.0062197874770615336,Slight or No change
139,2019-04-08,1849.86,1833.23,1850.2,1825.11,3750000.0,4,2019,1846.866773409322,1839.6,0.007636831096391905,Slight or No change
140,2019-04-05,1837.28,1829.0,1838.58,1825.19,3640000.0,4,2019,1846.797736957683,1832.5124999999998,-0.0068005146335398114,Slight or No change
141,2019-04-04,1818.86,1820.65,1828.75,1804.2,3620000.0,4,2019,1846.5990793376416,1818.115,-0.010025690150657574,Slight or No change
142,2019-04-03,1820.7,1826.72,1830.0,1809.62,3980000.0,4,2019,1846.3981743231918,1821.76,0.0010116226647460813,Slight or No change
143,2019-04-02,1813.98,1811.02,1820.0,1805.12,3450000.0,4,2019,1846.181643111593,1812.53,-0.0036908881199538834,Slight or No change
144,2019-04-01,1814.19,1800.11,1815.67,1798.73,4240000.0,4,2019,1845.9211688685766,1807.1750000000002,0.00011576753878217438,Slight or No change
145,2019-03-29,1780.75,1786.58,1792.86,1776.63,3320000.0,3,2019,1845.5083153335368,1784.205,-0.01843246848455793,Slight or No change
146,2019-03-28,1773.42,1770.0,1777.93,1753.47,3040000.0,3,2019,1845.0925684853544,1768.7050000000002,-0.004116243155973587,Slight or No change
147,2019-03-27,1765.7,1784.13,1787.5,1745.68,4320000.0,3,2019,1844.4471976140298,1770.7525,-0.004353170709702203,Slight or No change
148,2019-03-26,1783.76,1793.0,1805.77,1773.36,4870000.0,3,2019,1843.8961233241969,1788.9725,0.010228238092541142,Slight or No change
149,2019-03-25,1774.26,1757.79,1782.68,1747.5,5100000.0,3,2019,1843.240161615042,1765.5575000000001,-0.0053258285868054145,Slight or No change
150,2019-03-22,1764.77,1810.17,1818.98,1763.11,6360000.0,3,2019,1842.3290671267137,1789.2575,-0.005348708757453857,Slight or No change
151,2019-03-21,1819.26,1796.26,1823.75,1787.28,5770000.0,3,2019,1842.0885993785453,1806.6375,0.030876544818871476,Slight or No change
